search URL:,https://patents.google.com/?q=%28~patent%252fUS20180069262A1%29&q=%28~patent%252fUS11705576B2%29&q=%28~patent%252fUS11258057B2%29&q=%28~patent%252fCN110311168B%29&q=%28~patent%252fCN111344812B%29&q=%28~patent%252fCN111509222A%29&q=%28~patent%252fCN114122503A%29&q=%28~patent%252fGB2039864A%29&oq=%28~patent%252fCN111344812B%29+OR+%28~patent%252fUS11705576B2%29+OR+%28~patent%252fUS11258057B2%29+OR+%28~patent%252fUS20180069262A1%29+OR+%28~patent%252fCN110311168B%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11355780-B2,Sulfide solid electrolyte particles ,"Idemitsu Kosan Co., Ltd.","Futoshi Utsuno, Toshiaki Tsuno, Kota Terai, Hironari KIMPARA, Atsushi Sato",2017-03-08,2018-03-08,2022-06-07,2022-06-07,https://patents.google.com/patent/US11355780B2/en,https://patentimages.storage.googleapis.com/7a/6b/b7/8cd441e750cd02/US11355780-20220607-D00000.png
KR-102134749-B1,Solid electrolyte of lithium secondary battery and sulfide-based compound for the solid electrolyte ,미쓰이금속광업주식회사,"츠카사 다카하시, 다카시 지쿠모토, 다카히로 이토, 히데오 우에스기",2017-07-07,2018-07-02,2020-07-16,2020-07-16,https://patents.google.com/patent/KR102134749B1/en,https://patentimages.storage.googleapis.com/44/6a/75/52812b9ddb4c34/112019131432402-pct00004.png
JP-5985120-B1,Sulfide solid electrolyte and solid electrolyte compound for lithium ion battery ,三井金属鉱業株式会社,"宮下　徳彦, 徳彦 宮下, 崇嗣 筑本, 崇嗣 筑本, 青木　達也, 達也 青木, 仁彦 井手, 仁彦 井手, 松崎　健嗣, 健嗣 松崎",2014-12-26,2015-12-25,2016-09-06,2016-09-06,https://patents.google.com/patent/JP5985120B1/en,
US-10020535-B2,Method for producing sulfide solid electrolyte ,"Idemitsu Kosan Co., Ltd., Toyota Jidosha Kabushiki Kaisha","Atsushi Sato, Takayoshi Kambara, Takumi Tanaka, Hirokazu KAWAOKA, Takuo Yanagi, Takayoshi Doi, Takayuki Uchiyama, Shigenori Hama",2015-12-01,2016-12-01,2018-07-10,2018-07-10,https://patents.google.com/patent/US10020535B2/en,
JP-5873533-B2,Sulfide-based solid electrolyte for lithium-ion battery ,三井金属鉱業株式会社,"宮下　徳彦, 徳彦 宮下, 崇嗣 筑本, 崇嗣 筑本, 松嶋　英明, 英明 松嶋, 松崎　健嗣, 健嗣 松崎",2014-07-16,2014-07-16,2016-03-01,2016-03-01,https://patents.google.com/patent/JP5873533B2/en,
CN-109417194-B,Sulfide-based solid electrolyte for lithium secondary battery ,三井金属矿业株式会社,"上杉秀雄, 宫下德彦, 井手仁彦, 伊藤崇广, 筑本崇嗣, 村中孝",2016-07-01,2017-05-16,2022-03-01,2022-03-01,https://patents.google.com/patent/CN109417194B/en,https://patentimages.storage.googleapis.com/01/e2/4d/2925e66b3014e4/HDA0001925316950000011.png
JP-6936073-B2,Sulfide solid electrolyte ,出光興産株式会社,"恒太 寺井, 恒太 寺井, 太 宇都野, 太 宇都野, 中川　將, 將 中川, 展史 山口, 展史 山口, 孝 梅木, 孝 梅木",2016-08-12,2017-08-08,2021-09-15,2021-09-15,https://patents.google.com/patent/JP6936073B2/en,https://patentimages.storage.googleapis.com/ae/61/3f/46017913000e64/0006936073-4.png
KR-102320308-B1,Sulfide Solid Electrolyte ,이데미쓰 고산 가부시키가이샤,"고타 데라이, 후토시 우츠노, 다카시 우메키, 마사루 나카가와, 히로시 야마구치",2016-09-12,2017-08-08,2021-11-01,2021-11-01,https://patents.google.com/patent/KR102320308B1/en,https://patentimages.storage.googleapis.com/9a/96/ba/7bf0fc177e1c03/112019022639084-pct00008.png
JP-5957144-B2,Sulfide-based solid electrolyte for lithium-ion battery ,三井金属鉱業株式会社,"宮下　徳彦, 徳彦 宮下, 崇嗣 筑本, 崇嗣 筑本, 松嶋　英明, 英明 松嶋, 松崎　健嗣, 健嗣 松崎",2013-07-25,2014-06-23,2016-07-27,2016-07-27,https://patents.google.com/patent/JP5957144B2/en,
JP-2022003641-A,Method for manufacturing sulfide solid electrolyte ,"出光興産株式会社, Idemitsu Kosan Co Ltd","太 宇都野, Futoshi Utsuno, 恒太 寺井, Kota Terai",2016-09-08,2021-09-14,2022-01-11,,https://patents.google.com/patent/JP2022003641A/en,https://patentimages.storage.googleapis.com/9f/ca/f6/cc1f25cc34062f/2022003641-4.png
KR-102319569-B1,Sulfide Solid Electrolyte ,이데미쓰 고산 가부시키가이샤,"후토시 우츠노, 고타 데라이",2016-08-10,2017-08-08,2021-10-29,2021-10-29,https://patents.google.com/patent/KR102319569B1/en,https://patentimages.storage.googleapis.com/0f/6c/d2/e01feb3b106f78/112019013478489-pct00003.png
US-10879562-B2,"Solid electrolyte, preparation method thereof, and all-solid-state battery employing the same ",Korea Electronics Technology Institute,"Kyungsu Kim, Woosuk CHO, Goojin JEONG, Jisang Yu",2017-11-29,2018-11-27,2020-12-29,2020-12-29,https://patents.google.com/patent/US10879562B2/en,https://patentimages.storage.googleapis.com/5d/7a/f6/2382f0f3adfc38/US10879562-20201229-D00001.png
JP-7435452-B2,"Method for producing sulfide solid electrolyte, sulfide solid electrolyte, all-solid-state battery, and method for selecting raw material compounds used for producing sulfide solid electrolyte ",株式会社Ｇｓユアサ,"晃弘 福嶋, 克弥 西井, 諒 佐久間, 忠司 掛谷, 龍也 越智",2018-08-30,2019-08-30,2024-02-21,2024-02-21,https://patents.google.com/patent/JP7435452B2/en,https://patentimages.storage.googleapis.com/25/a8/02/32974a1a47c35c/0007435452000015.png
